fomc_date,avg_us_car,stmt_min_div,avg_jp_car,stmt_stance,min_stance
2016-03-16,-0.007746387803868188,1.0,0.013496086927338169,-1.0,0.0
2016-06-15,-0.0009944511478202417,1.0,0.02092952885479638,-1.0,0.0
2016-07-27,0.007838616853616158,1.0,0.056820607697698235,-1.0,0.0
2016-12-14,0.009516664454595146,0.0,0.01304544463118381,1.0,1.0
2017-02-01,-0.007291099865692121,1.0,0.014301061145055118,-1.0,0.0
2017-03-15,-0.008747087283525854,0.0,-0.015250045411973617,1.0,1.0
2017-06-14,0.004471171980320084,0.0,-0.0046086637781669005,1.0,1.0
2017-07-26,-0.007319556319119325,1.0,0.0009706614552224363,1.0,0.0
2017-09-20,0.016626503394805075,1.0,0.01830797767303666,-1.0,0.0
2017-12-13,-0.01176802692771356,1.0,-0.020523139662394756,1.0,0.0
2018-01-31,0.008921469089008538,1.0,0.026597448616716344,1.0,0.0
2018-06-13,-0.009497361301911913,1.0,0.001972921174023919,1.0,0.0
2018-08-01,-0.002843488638351946,0.0,-0.016078733209619944,0.0,0.0
2018-09-26,-0.016692131533201985,0.0,-0.00947778091764062,1.0,1.0
2018-11-08,0.005002837097954962,1.0,-0.011271899992545555,1.0,0.0
2018-12-19,0.0047567050110241755,1.0,-0.017869641613406637,1.0,0.0
2019-01-30,-0.02431146151348625,0.0,-0.0218692791661543,-1.0,-1.0
2019-06-19,-0.014356060873673483,1.0,-0.007379562697028655,-1.0,0.0
2019-07-31,-0.01757377573142293,1.0,-0.00611577826867921,-1.0,0.0
2019-09-18,0.000752908977515654,0.0,0.004916862943166273,-1.0,-1.0
2019-10-30,-0.013915890784644808,0.0,-0.007069292239925373,-1.0,-1.0
2019-12-11,0.008177913189930516,1.0,-0.00660738161609532,0.0,-1.0
2020-01-29,0.0008533025057406046,1.0,0.0063091931381951735,-1.0,0.0
2020-03-15,-0.050275337784110745,0.0,0.0555840243063325,-1.0,-1.0
2020-06-10,-0.04692417392237217,0.0,-0.028517426339684328,-1.0,-1.0
2020-07-29,-0.006188041762245838,0.0,-0.0338341337921322,-1.0,-1.0
2020-09-16,0.0300509542268878,0.0,0.011643722415755718,-1.0,-1.0
2020-11-05,-0.009964936489058366,0.0,-0.009343891199720334,-1.0,-1.0
2020-12-16,-0.00947641772175955,1.0,-0.01125510518291039,-1.0,0.0
2021-01-27,0.005354492806388362,1.0,0.026077164376774042,-1.0,0.0
2021-03-17,0.02312349584957572,1.0,0.06991434546343062,-1.0,0.0
2021-06-16,-0.03773239222960453,1.0,-0.0044854380991720365,-1.0,0.0
2021-07-28,0.007503057989391208,2.0,-0.004686838224885609,-1.0,1.0
2021-12-15,0.00492315701951477,0.0,0.016286546125394038,1.0,1.0
2022-01-26,0.002720628388034333,0.0,0.019313503178410473,1.0,1.0
2022-03-16,0.004732509091234855,0.0,-0.00551531741761099,1.0,1.0
2022-06-15,0.004360116412980637,0.0,0.0010615078020675456,1.0,1.0
2022-07-27,-0.015612719422730995,0.0,-0.004622560817540964,1.0,1.0
2022-12-14,-0.004258092475394412,1.0,0.017376763690259214,1.0,0.0
2023-02-01,-0.013810625193456596,1.0,-0.018999484449902595,1.0,0.0
2023-03-22,-0.043377312368658716,2.0,-0.022685111184915948,1.0,-1.0
2023-06-14,-0.011538309746380218,1.0,-0.006113429310960755,0.0,1.0
2023-07-26,0.014628119097103168,1.0,0.05027706685191544,1.0,0.0
2023-09-20,0.018365221892574193,0.0,0.029392214732029808,1.0,1.0
2023-12-13,0.0675710649377383,1.0,-0.058825435111003625,0.0,-1.0
2024-01-31,-0.03052183111125109,2.0,-0.011010501249629491,1.0,-1.0
2024-06-12,-0.0025859963322511417,2.0,-0.0195344060254158,1.0,-1.0
2024-07-31,-0.0352477945319591,2.0,-0.05865939570174584,1.0,-1.0
2024-09-18,0.016664311132081954,0.0,-0.020323821748091872,-1.0,-1.0
2024-11-07,-0.02902724757146132,0.0,-0.0052805885960556,-1.0,-1.0
2024-12-18,-0.013914287669924759,0.0,-0.004939364244636,-1.0,-1.0
2025-01-29,0.006321288243343703,0.0,0.012554255947686327,0.0,0.0
2025-05-07,0.007916778342678822,1.0,0.009612054797099081,0.0,-1.0
2025-06-18,0.02243355541280451,0.0,0.005174011808871109,0.0,0.0
2025-07-30,-0.011448248474883264,1.0,0.012988655526436218,0.0,-1.0
2025-09-17,0.01822233233068115,0.0,0.0020983379500768,-1.0,-1.0
2025-10-29,0.0026473178832236003,1.0,0.001807576017286864,0.0,-1.0
2025-12-10,0.028439000680697612,0.0,0.01267348620127262,-1.0,-1.0
