rssd9001,rssd9999,htm_securities,interest_income,total_assets,total_deposits,trading_assets,risk_weighted_assets,total_equity,afs_securities,interest_expense,net_interest_income,tier1_capital,tier1_ratio,equity_capital,noninterest_income_b,report_date,ticker,tier1_ratio_computed,tier1_ratio_final,equity_ratio,nim,trading_ratio,deposit_ratio,afs_ratio,htm_ratio,tier1_yoy,nim_change
1073757.0,2007-12-31,151697174,36461290,1720688423.0,1733598290.0,200721102.0,1212833784.0,,27678897410.0,52875639,28974240,133627320,11.02,146803412,1571489209.0,2007-12-31,BAC,0.11017776859685498,11.02,,0.016838748731443056,0.1166516257778065,1.0075027336892821,16.08594388154374,0.0881607454157899,0.06709117991084512,-7.266152372422535e-05
1073757.0,2008-03-31,152393048,10538129,1743478291.0,1762578669.0,221297866.0,1251835319.0,,32292858285.0,11869927,6128138,146089605,11.67,156309060,1584819240.0,2008-03-31,BAC,0.11670033812171104,11.67,,0.003514892058957102,0.12692894838000596,1.0109553288381037,18.522087973047206,0.08740748237971607,0.15069547595631483,-0.013323856672485954
1073757.0,2008-06-30,150732456,21773737,1723269816.0,1752666568.0,214904274.0,1230180294.0,,34362120525.0,21274444,15508101,154982552,12.6,162690664,1559017236.0,2008-06-30,BAC,0.12598360805802342,12.6,,0.008999229752655286,0.1247072698684116,1.0170587053327695,19.940069863673628,0.08746886564164134,0.14751702225879826,0.0054843376936981846
1073757.0,2008-09-30,155347024,33562973,1836452425.0,1907234232.0,223220318.0,1328009026.0,,34044822876.0,31828301,24931205,153324183,11.55,161039070,1673811274.0,2008-09-30,BAC,0.11545417237247001,11.55,,0.013575742371872226,0.12154974175277097,1.0385426848179855,18.538363647509136,0.08459082407212373,0.12916311014293824,0.0045765126192169395
1073757.0,2008-12-31,158991449,47712913,1822068028.0,1958040872.0,198203368.0,1320660477.0,,34265623201.0,40323848,28424503,171659312,13.0,177051777,1643357559.0,2008-12-31,BAC,0.12997989641511776,13.0,,0.01560013268615457,0.10877934575118949,1.0746255583822801,18.805896747231657,0.0872587886713086,0.2846123981233777,0.002024390314282344
1073757.0,2009-03-31,162488058,12462608,2323415454.0,2519134111.0,318062660.0,1695664165.0,240080110,63808231692.0,9926646,20585227,237916960,14.03,239548604,2083335344.0,2009-03-31,BAC,0.14030900983273417,14.03,0.10333068482723452,0.00885989931958161,0.13689444109206653,1.084237477487313,27.463117533348385,0.06993499923582759,0.6285687130169186,-0.0067402333665729595
1073757.0,2009-06-30,153250580,24370064,2256059674.0,2430230788.0,276772556.0,1603234460.0,255603810,63669804206.0,17621198,36342177,255869811,15.96,255152421,2000455864.0,2009-06-30,BAC,0.15959600257095272,15.96,0.1132965643354698,0.016108694915664717,0.12267962553901843,1.077201465904133,28.221684443795436,0.06792842484006033,0.6509588188998203,0.007248795596083107
1073757.0,2009-09-30,141034666,36207620,2252813550.0,2395260642.0,296600472.0,1552557115.0,258150637,62725433055.0,24720877,49726540,258585710,16.66,257682873,1994662913.0,2009-09-30,BAC,0.1665547164105457,16.66,0.11459032506263113,0.022073082790184745,0.13165779831180435,1.0632307507205823,27.843153311555678,0.06260378982539412,0.6865291889407947,0.005964387874520027
1073757.0,2009-12-31,131723850,47829471,2231472659.0,2432747017.0,258345715.0,1541162089.0,232343904,62304620464.0,30807178,62550188,226234277,14.68,231443873,1999128755.0,2009-12-31,BAC,0.1467946029913016,14.68,0.10412133129344338,0.028030900467331248,0.11577364121314113,1.0901979942206408,27.92085316963769,0.05903000848732335,0.3179260382914735,0.005957817677146503
1073757.0,2010-03-31,131983087,14189820,2346600744.0,2515404224.0,276859101.0,1518950435.0,231527040,60673094979.0,6129248,17870365,219907662,14.48,229823277,2115073704.0,2010-03-31,BAC,0.14477606176794044,14.48,0.09866486260689603,0.007615426290856064,0.11798304492483362,1.0719353219466976,25.85573840549332,0.05624437277515838,-0.07569573014046582,-0.020415474176475185
1073757.0,2010-06-30,128634077,27353362,2370594235.0,2492077991.0,277100011.0,1495155018.0,234998359,61626050896.0,12361162,32634151,220925068,14.78,233173540,2135595876.0,2010-06-30,BAC,0.1477606437729255,14.78,0.09913057052549527,0.013766232330350707,0.11689052766130599,1.0512461197308194,25.996035081052156,0.0542623765386825,-0.13657235632225484,0.006150806039494643
1073757.0,2010-09-30,124802656,40026406,2341160426.0,2374502563.0,285809278.0,1476749226.0,232143414,61762201907.0,18122508,45821865,231120162,15.65,230494556,2109017012.0,2010-09-30,BAC,0.15650603225709767,15.65,0.09915741417030086,0.019572287525075397,0.12208017649107486,1.0142417139080755,26.38102080536364,0.05330803246714371,-0.10621448493808883,0.0058060551947246904
1073757.0,2010-12-31,122807376,52764218,2268347377.0,2360362106.0,257688816.0,1455906110.0,237214113,58327604486.0,23973380,54617899,229591263,15.77,228248104,2031133264.0,2010-12-31,BAC,0.157696476045423,15.77,0.10457574329454214,0.02407827811286772,0.11360200761701941,1.0405646551022065,25.71370023719255,0.05413958075610921,0.014838538370558263,0.004505990587792323
1073757.0,2011-03-31,122918198,12410343,2276418250.0,2331719508.0,263871271.0,1433452070.0,232015474,59979649218.0,5743677,13914417,229098499,15.98,230875931,2044402776.0,2011-03-31,BAC,0.15982292243646487,15.98,0.10192128533497744,0.006112416731854965,0.1159151096245165,1.0242931007955152,26.34825529886698,0.0539963154837649,0.04179407355074338,-0.017965861381012756
1073757.0,2011-06-30,123428039,24764560,2264435837.0,2326836130.0,253123179.0,1392746515.0,223332883,62232244867.0,11545543,14218490,217985016,15.65,222175602,2041102954.0,2011-06-30,BAC,0.15651449395297895,15.65,0.0986262800432795,0.006279043003857919,0.11178200541789077,1.0275566620084364,27.48245008763302,0.054507192026920746,-0.013307914880895222,0.0001666262720029536
1073757.0,2011-09-30,127623825,35554208,2221386576.0,2289345459.0,243781855.0,1359534386.0,230876934,60393013002.0,16908409,27765180,215554476,15.86,230251778,1990509642.0,2011-09-30,BAC,0.15855022000157046,15.86,0.10393370361305361,0.012499031145671243,0.10974310263410901,1.0305930015667837,27.18707930195037,0.05745232566850625,-0.06734888841069608,0.006219988141813324
1073757.0,2011-12-31,131761607,46418906,2136577907.0,2204981680.0,232609607.0,1284466933.0,230704571,55500015584.0,21620186,37696191,215100637,16.75,230101065,1905873336.0,2011-12-31,BAC,0.1674629618511168,16.75,0.10797854374705936,0.017643256010696922,0.10887017329810852,1.032015576298852,25.976125374210376,0.06166946057446058,-0.06311488429766599,0.005144224865025679
1073757.0,2012-03-31,133823592,10987434,2180055682.0,2185843290.0,259199718.0,1220865209.0,233065430,54733781863.0,4615413,10494732,211052327,17.29,232498790,1946990252.0,2012-03-31,BAC,0.17287111258815469,17.29,0.10690801704027302,0.004813974288203525,0.11889591634751648,1.0026547982456533,25.106598108900965,0.06138540088904023,-0.07877036330997522,-0.012829281722493396
1073757.0,2012-06-30,136919243,20823862,2162083396.0,2190236319.0,258431951.0,1193462337.0,236459858,52399904487.0,9057928,22467891,206403100,17.29,235975068,1925623538.0,2012-06-30,BAC,0.1729447956596891,17.29,0.10936666848164445,0.010391778153223466,0.11952913170607411,1.0130212012413975,24.235838721088815,0.06332745686559077,-0.05313170699769565,0.005577803865019941
1073757.0,2012-09-30,144908673,30939434,2168023105.0,2167722203.0,264044836.0,1195765450.0,239094193,51394127264.0,13096282,32599636,202346776,16.92,238605529,1928928912.0,2012-09-30,BAC,0.16921945353079068,16.92,0.11028212404590587,0.015036572223246671,0.12179060056650089,0.9998612090437108,23.70552562169304,0.06683908149585888,-0.06127314192260147,0.004644794070023205
