Date,MUFG,Mizuho,SMFG,SMTH,Resona,Chiba,Gunma,Suruga,Yamaguchi,Concordia,Hokuhoku,NK225,TOPIX,USDJPY,TPX_Banks
2024-09-27,1377.8175048828125,2699.5986328125,2812.976806640625,3211.224853515625,916.870361328125,1075.150146484375,811.179443359375,1038.38525390625,1459.7410888671875,740.3672485351562,1515.2039794921875,39829.55859375,2854.729736328125,145.0760040283203,293.0539855957031
2024-09-30,1380.191162109375,2812.640869140625,2899.141845703125,3194.26904296875,970.9871215820312,1103.393310546875,834.1768188476562,1068.0806884765625,1479.3125,757.3892822265625,1511.8175048828125,37919.55078125,2760.453369140625,142.7830047607422,295.1424865722656
2024-10-01,1404.8798828125,2874.909912109375,2952.459228515625,3242.310546875,970.9871215820312,1120.1475830078125,847.7661743164062,1078.6177978515625,1490.7689208984375,762.2664794921875,1537.4580078125,38651.96875,2813.328125,143.7100067138672,302.16741943359375
2024-10-02,1376.8677978515625,2834.195556640625,2886.7646484375,3179.197265625,932.3462524414062,1077.543701171875,825.8141479492188,1039.3431396484375,1460.2183837890625,732.716796875,1496.3365478515625,37808.76171875,2766.93798828125,143.73599243164062,296.85125732421875
2024-10-03,1375.4434814453125,2796.355224609375,2886.7646484375,3175.429443359375,924.4623413085938,1067.4910888671875,821.8228759765625,1039.3431396484375,1446.8526611328125,729.56103515625,1500.6905517578125,38552.05859375,2801.855224609375,146.58200073242188,296.3766174316406
2024-10-04,1405.354736328125,2845.21240234375,2941.0341796875,3206.51513671875,934.5848388671875,1087.1175537109375,841.7792358398438,1053.7117919921875,1480.267333984375,744.0011596679688,1529.2337646484375,38635.62109375,2814.824462890625,146.83999633789062,300.83837890625
2024-10-07,1453.782470703125,2984.119873046875,3053.3818359375,3291.29345703125,1015.6626586914062,1133.551025390625,873.9945678710938,1093.9444580078125,1528.95703125,774.8896484375,1615.346923828125,39332.73828125,2869.195556640625,148.82000732421875,312.4200439453125
2024-10-08,1428.144287109375,2895.985595703125,2944.8427734375,3214.992919921875,986.9496459960938,1091.4259033203125,839.0234375,1076.7020263671875,1461.6505126953125,747.2526245117188,1536.9742431640625,38937.5390625,2826.29736328125,148.14599609375,305.6799011230469
2024-10-09,1425.7703857421875,2873.951904296875,2933.417236328125,3180.1396484375,971.1817626953125,1081.3731689453125,837.5028686523438,1067.122802734375,1458.30908203125,738.0720825195312,1538.425537109375,39277.9609375,2827.793701171875,148.15899658203125,303.8761901855469
2024-10-10,1448.559814453125,2891.195556640625,2971.501220703125,3211.224853515625,975.269775390625,1079.9371337890625,840.8289184570312,1065.2069091796875,1463.08251953125,741.8016357421875,1567.4525146484375,39380.890625,2838.268798828125,149.16000366210938,305.8697814941406
2024-10-11,1473.723388671875,2919.93505859375,3015.297607421875,3218.7607421875,986.9496459960938,1097.64892578125,844.155029296875,1058.5015869140625,1470.72021484375,746.8700561523438,1563.098388671875,39605.80078125,2828.791259765625,148.70399475097656,309.3822326660156
2024-10-14,,,,,,,,,,,,,,149.33399963378906,
2024-10-15,1506.4832763671875,2963.04443359375,3062.90283203125,3234.7744140625,1017.6093139648438,1116.3179931640625,865.2517700195312,1090.11279296875,1506.5216064453125,771.925048828125,1601.3170166015625,39910.55078125,2843.257080078125,149.6699981689453,315.1730651855469
2024-10-16,1509.8067626953125,2973.582275390625,3046.71728515625,3223.470703125,1006.4160766601562,1102.91455078125,871.333740234375,1082.449462890625,1496.019775390625,762.0752563476562,1589.706298828125,39180.30078125,2817.8173828125,149.0989990234375,315.1730651855469
2024-10-17,1538.7684326171875,3039.68310546875,3086.705078125,3209.341064453125,1022.9625854492188,1124.9345703125,874.0895385742188,1083.407470703125,1516.0684814453125,772.594482421875,1615.346923828125,38911.19140625,2808.838623046875,149.5760040283203,318.5906066894531
2024-10-18,1561.0831298828125,3069.380615234375,3106.69921875,3245.136474609375,1025.882568359375,1116.7967529296875,882.357177734375,1092.9866943359375,1506.044189453125,761.3101196289062,1622.1197509765625,38981.75,2810.833984375,150.10000610351562,321.9132080078125
2024-10-21,1531.646728515625,3046.388916015625,3048.62109375,3200.863037109375,1005.9293823242188,1099.563720703125,840.638916015625,1076.7020263671875,1474.0616455078125,746.8700561523438,1592.1253662109375,38954.6015625,2803.351806640625,149.60000610351562,317.64129638671875
2024-10-22,1511.2310791015625,3009.02783203125,3008.63330078125,3158.4736328125,977.7030639648438,1075.150146484375,831.040771484375,1048.9222412109375,1449.7166748046875,729.1785278320312,1555.35791015625,38411.9609375,2772.923828125,150.60499572753906,312.9896545410156
2024-10-23,1487.966796875,2967.83447265625,2974.357421875,3124.5625,963.8818969726562,1061.2679443359375,818.4967651367188,1036.4693603515625,1432.0548095703125,718.7548217773438,1531.1689453125,38104.859375,2758.95703125,151.13800048828125,308.52783203125
2024-10-24,1486.067626953125,2969.75048828125,2965.78857421875,3105.72265625,965.6337890625,1058.39599609375,814.1254272460938,1044.1326904296875,1436.8282470703125,715.6947021484375,1521.4931640625,38143.2890625,2757.46044921875,152.7689971923828,307.958251953125
2024-10-25,1470.39990234375,2956.33837890625,2954.363525390625,3100.07080078125,972.9337768554688,1055.0450439453125,809.6589965820312,1024.0164794921875,1426.8037109375,713.208251953125,1523.912109375,37913.921875,2738.50537109375,151.7830047607422,306.5342712402344
2024-10-28,1483.218994140625,2984.119873046875,3008.63330078125,3127.38818359375,966.1204833984375,1059.353271484375,812.1296997070312,1035.511474609375,1424.8944091796875,711.4869384765625,1538.425537109375,38605.53125,2780.406005859375,152.95199584960938,308.71771240234375
2024-10-29,1527.848388671875,3067.46484375,3086.705078125,3172.603515625,988.8963012695312,1074.19287109375,831.325927734375,1046.0484619140625,1449.7166748046875,724.39697265625,1566.001220703125,38903.6796875,2803.351806640625,153.1790008544922,316.2173156738281
2024-10-30,1546.83984375,3087.58251953125,3113.364013671875,3181.08154296875,994.7362060546875,1083.2880859375,832.8463745117188,1042.2169189453125,1449.2393798828125,728.7003784179688,1576.644287109375,39277.390625,2831.7841796875,153.2740020751953,319.4449768066406
2024-10-31,1546.3648681640625,3077.044677734375,3116.22021484375,3182.0234375,992.78955078125,1081.8519287109375,825.529052734375,1051.7960205078125,1444.4658203125,732.8124389648438,1563.098388671875,39081.25,2811.332763671875,153.20399475097656,318.02099609375
2024-11-01,1538.7684326171875,3075.128662109375,3083.848876953125,3169.777587890625,1014.20263671875,1104.8294677734375,843.2998046875,1027.84814453125,1443.988525390625,741.6104125976562,1575.6766357421875,38053.671875,2766.439208984375,151.97999572753906,318.21087646484375
2024-11-04,,,,,,,,,,,,,,152.28700256347656,
2024-11-05,1541.1424560546875,3108.657958984375,3092.417724609375,3170.7197265625,1004.469482421875,1113.924560546875,869.5281982421875,1009.6476440429688,1458.7864990234375,744.9573974609375,1578.5794677734375,38474.8984375,2769.43212890625,152.2760009765625,317.5463562011719
2024-11-06,1628.97705078125,3306.960693359375,3306.64013671875,3328.031005859375,1068.708740234375,1166.5809326171875,907.540283203125,1046.0484619140625,1533.253173828125,788.37353515625,1660.822265625,39480.671875,2840.762939453125,151.43499755859375,332.0708923339844
2024-11-07,1677.8795166015625,3306.960693359375,3392.3291015625,3356.29052734375,1119.321533203125,1206.3128662109375,928.4469604492188,1024.0164794921875,1549.9605712890625,806.0650024414062,1673.400634765625,39381.41015625,2864.207275390625,154.32000732421875,343.08294677734375
2024-11-08,1679.303955078125,3281.094970703125,3399.94580078125,3374.188232421875,1132.4615478515625,1200.0897216796875,919.134033203125,1032.6376953125,1552.3472900390625,807.8819580078125,1718.8760986328125,39500.37109375,2859.21923828125,153.17999267578125,343.08294677734375
